Date,Open,High,Low,Close,Adj Close,Volume
2016-12-08,56.700001,56.700001,56.700001,56.700001,55.402664,0
2016-12-09,56.970001,56.970001,56.970001,56.970001,55.666489,0
2016-12-12,56.840000,56.840000,56.840000,56.840000,55.539459,0
2016-12-13,57.169998,57.169998,57.169998,57.169998,55.861912,0
2016-12-14,56.669998,56.669998,56.669998,56.669998,55.373348,0
2016-12-15,56.900002,56.900002,56.900002,56.900002,55.598091,0
2016-12-16,56.820000,56.820000,56.820000,56.820000,55.519920,0
2016-12-19,56.619999,56.619999,56.619999,56.619999,55.653599,0
2016-12-20,56.860001,56.860001,56.860001,56.860001,55.889507,0
2016-12-21,56.700001,56.700001,56.700001,56.700001,55.732235,0
2016-12-22,56.540001,56.540001,56.540001,56.540001,55.574970,0
2016-12-23,56.660000,56.660000,56.660000,56.660000,55.692917,0
2016-12-27,56.799999,56.799999,56.799999,56.799999,55.830528,0
2016-12-28,56.310001,56.310001,56.310001,56.310001,55.348892,0
2016-12-29,56.310001,56.310001,56.310001,56.310001,55.348892,0
2016-12-30,56.060001,56.060001,56.060001,56.060001,55.103161,0
2017-01-03,56.520000,56.520000,56.520000,56.520000,55.555305,0
2017-01-04,56.970001,56.970001,56.970001,56.970001,55.997631,0
2017-01-05,56.860001,56.860001,56.860001,56.860001,55.889507,0
2017-01-06,57.029999,57.029999,57.029999,57.029999,56.056602,0
2017-01-09,56.810001,56.810001,56.810001,56.810001,55.840363,0
2017-01-10,56.880001,56.880001,56.880001,56.880001,55.909161,0
2017-01-11,57.029999,57.029999,57.029999,57.029999,56.056602,0
2017-01-12,56.880001,56.880001,56.880001,56.880001,55.909161,0
2017-01-13,57.029999,57.029999,57.029999,57.029999,56.056602,0
2017-01-17,56.790001,56.790001,56.790001,56.790001,55.820702,0
2017-01-18,56.930000,56.930000,56.930000,56.930000,55.958305,0
2017-01-19,56.700001,56.700001,56.700001,56.700001,55.732235,0
2017-01-20,56.889999,56.889999,56.889999,56.889999,55.918987,0
2017-01-23,56.740002,56.740002,56.740002,56.740002,55.771557,0
2017-01-24,57.180000,57.180000,57.180000,57.180000,56.204044,0
2017-01-25,57.650002,57.650002,57.650002,57.650002,56.666023,0
2017-01-26,57.580002,57.580002,57.580002,57.580002,56.597218,0
2017-01-27,57.500000,57.500000,57.500000,57.500000,56.518581,0
2017-01-30,57.110001,57.110001,57.110001,57.110001,56.135239,0
2017-01-31,57.130001,57.130001,57.130001,57.130001,56.154896,0
2017-02-01,57.139999,57.139999,57.139999,57.139999,56.164726,0
2017-02-02,57.169998,57.169998,57.169998,57.169998,56.194210,0
2017-02-03,57.639999,57.639999,57.639999,57.639999,56.656189,0
2017-02-06,57.490002,57.490002,57.490002,57.490002,56.508751,0
2017-02-07,57.470001,57.470001,57.470001,57.470001,56.489094,0
2017-02-08,57.529999,57.529999,57.529999,57.529999,56.548069,0
2017-02-09,57.919998,57.919998,57.919998,57.919998,56.931408,0
2017-02-10,58.150002,58.150002,58.150002,58.150002,57.157494,0
2017-02-13,58.450001,58.450001,58.450001,58.450001,57.452370,0
2017-02-14,58.680000,58.680000,58.680000,58.680000,57.678440,0
2017-02-15,58.980000,58.980000,58.980000,58.980000,57.973320,0
2017-02-16,58.910000,58.910000,58.910000,58.910000,57.904518,0
2017-02-17,59.009998,59.009998,59.009998,59.009998,58.002808,0
2017-02-21,59.380001,59.380001,59.380001,59.380001,58.366497,0
2017-02-22,59.290001,59.290001,59.290001,59.290001,58.278030,0
2017-02-23,59.259998,59.259998,59.259998,59.259998,58.248539,0
2017-02-24,59.360001,59.360001,59.360001,59.360001,58.346840,0
2017-02-27,59.490002,59.490002,59.490002,59.490002,58.474617,0
2017-02-28,59.250000,59.250000,59.250000,59.250000,58.238712,0
2017-03-01,60.080002,60.080002,60.080002,60.080002,59.054546,0
2017-03-02,59.680000,59.680000,59.680000,59.680000,58.661373,0
2017-03-03,59.709999,59.709999,59.709999,59.709999,58.690857,0
2017-03-06,59.490002,59.490002,59.490002,59.490002,58.474617,0
2017-03-07,59.279999,59.279999,59.279999,59.279999,58.268196,0
2017-03-08,59.130001,59.130001,59.130001,59.130001,58.120758,0
2017-03-09,59.139999,59.139999,59.139999,59.139999,58.130589,0
2017-03-10,59.330002,59.330002,59.330002,59.330002,58.317348,0
2017-03-13,59.400002,59.400002,59.400002,59.400002,58.386154,0
2017-03-14,59.189999,59.189999,59.189999,59.189999,58.179737,0
2017-03-15,59.740002,59.740002,59.740002,59.740002,58.720348,0
2017-03-16,59.669998,59.669998,59.669998,59.669998,58.651539,0
2017-03-17,59.630001,59.630001,59.630001,59.630001,58.612228,0
2017-03-20,59.480000,59.480000,59.480000,59.480000,58.464783,0
2017-03-21,58.639999,58.639999,58.639999,58.639999,57.639122,0
2017-03-22,58.740002,58.740002,58.740002,58.740002,57.737415,0
2017-03-23,58.480000,58.480000,58.480000,58.480000,57.724586,0
2017-03-24,58.439999,58.439999,58.439999,58.439999,57.685101,0
2017-03-27,58.410000,58.410000,58.410000,58.410000,57.655491,0
2017-03-28,58.830002,58.830002,58.830002,58.830002,58.070065,0
2017-03-29,58.930000,58.930000,58.930000,58.930000,58.168770,0
2017-03-30,59.130001,59.130001,59.130001,59.130001,58.366188,0
2017-03-31,59.040001,59.040001,59.040001,59.040001,58.277351,0
2017-04-03,58.880001,58.880001,58.880001,58.880001,58.119419,0
2017-04-04,58.910000,58.910000,58.910000,58.910000,58.149029,0
2017-04-05,58.669998,58.669998,58.669998,58.669998,57.912125,0
2017-04-06,58.869999,58.869999,58.869999,58.869999,58.109543,0
2017-04-07,58.820000,58.820000,58.820000,58.820000,58.060192,0
2017-04-10,58.880001,58.880001,58.880001,58.880001,58.119419,0
2017-04-11,58.869999,58.869999,58.869999,58.869999,58.109543,0
2017-04-12,58.580002,58.580002,58.580002,58.580002,57.823296,0
2017-04-13,58.169998,58.169998,58.169998,58.169998,57.418591,0
2017-04-17,58.689999,58.689999,58.689999,58.689999,57.931870,0
2017-04-18,58.549999,58.549999,58.549999,58.549999,57.793682,0
2017-04-19,58.500000,58.500000,58.500000,58.500000,57.744328,0
2017-04-20,58.970001,58.970001,58.970001,58.970001,58.208256,0
2017-04-21,58.790001,58.790001,58.790001,58.790001,58.030579,0
2017-04-24,59.430000,59.430000,59.430000,59.430000,58.662315,0
2017-04-25,59.810001,59.810001,59.810001,59.810001,59.037407,0
2017-04-26,59.810001,59.810001,59.810001,59.810001,59.037407,0
2017-04-27,59.849998,59.849998,59.849998,59.849998,59.076885,0
2017-04-28,59.660000,59.660000,59.660000,59.660000,58.889343,0
2017-05-01,59.790001,59.790001,59.790001,59.790001,59.017666,0
2017-05-02,59.810001,59.810001,59.810001,59.810001,59.037407,0
