Date,Open,High,Low,Close,Adj Close,Volume
2016-12-08,10.660000,10.660000,10.660000,10.660000,10.373352,0
2016-12-09,10.620000,10.620000,10.620000,10.620000,10.334426,0
2016-12-12,10.620000,10.620000,10.620000,10.620000,10.334426,0
2016-12-13,10.630000,10.630000,10.630000,10.630000,10.344158,0
2016-12-14,10.570000,10.570000,10.570000,10.570000,10.285771,0
2016-12-15,10.550000,10.550000,10.550000,10.550000,10.266310,0
2016-12-16,10.560000,10.560000,10.560000,10.560000,10.276041,0
2016-12-19,10.590000,10.590000,10.590000,10.590000,10.305233,0
2016-12-20,10.580000,10.580000,10.580000,10.580000,10.295504,0
2016-12-21,10.590000,10.590000,10.590000,10.590000,10.310109,0
2016-12-22,10.590000,10.590000,10.590000,10.590000,10.310109,0
2016-12-23,10.590000,10.590000,10.590000,10.590000,10.310109,0
2016-12-27,10.580000,10.580000,10.580000,10.580000,10.300373,0
2016-12-28,10.610000,10.610000,10.610000,10.610000,10.329579,0
2016-12-29,10.630000,10.630000,10.630000,10.630000,10.349050,0
2016-12-30,10.650000,10.650000,10.650000,10.650000,10.389045,0
2017-01-03,10.650000,10.650000,10.650000,10.650000,10.389045,0
2017-01-04,10.660000,10.660000,10.660000,10.660000,10.398800,0
2017-01-05,10.710000,10.710000,10.710000,10.710000,10.447577,0
2017-01-06,10.670000,10.670000,10.670000,10.670000,10.408556,0
2017-01-09,10.700000,10.700000,10.700000,10.700000,10.437821,0
2017-01-10,10.690000,10.690000,10.690000,10.690000,10.428065,0
2017-01-11,10.700000,10.700000,10.700000,10.700000,10.437821,0
2017-01-12,10.700000,10.700000,10.700000,10.700000,10.437821,0
2017-01-13,10.680000,10.680000,10.680000,10.680000,10.418312,0
2017-01-17,10.720000,10.720000,10.720000,10.720000,10.457330,0
2017-01-18,10.660000,10.660000,10.660000,10.660000,10.398800,0
2017-01-19,10.640000,10.640000,10.640000,10.640000,10.379291,0
2017-01-20,10.650000,10.650000,10.650000,10.650000,10.389045,0
2017-01-23,10.680000,10.680000,10.680000,10.680000,10.418312,0
2017-01-24,10.650000,10.650000,10.650000,10.650000,10.389045,0
2017-01-25,10.620000,10.620000,10.620000,10.620000,10.359779,0
2017-01-26,10.630000,10.630000,10.630000,10.630000,10.369536,0
2017-01-27,10.640000,10.640000,10.640000,10.640000,10.379291,0
2017-01-30,10.640000,10.640000,10.640000,10.640000,10.379291,0
2017-01-31,10.660000,10.660000,10.660000,10.660000,10.419367,0
2017-02-01,10.640000,10.640000,10.640000,10.640000,10.399818,0
2017-02-02,10.640000,10.640000,10.640000,10.640000,10.399818,0
2017-02-03,10.650000,10.650000,10.650000,10.650000,10.409593,0
2017-02-06,10.680000,10.680000,10.680000,10.680000,10.438912,0
2017-02-07,10.690000,10.690000,10.690000,10.690000,10.448687,0
2017-02-08,10.720000,10.720000,10.720000,10.720000,10.478011,0
2017-02-09,10.680000,10.680000,10.680000,10.680000,10.438912,0
2017-02-10,10.680000,10.680000,10.680000,10.680000,10.438912,0
2017-02-13,10.670000,10.670000,10.670000,10.670000,10.429140,0
2017-02-14,10.650000,10.650000,10.650000,10.650000,10.409593,0
2017-02-15,10.630000,10.630000,10.630000,10.630000,10.390043,0
